object,object_id,mass_kg,convex_parts,duration_s,contact_retention,max_rotation_deg,max_translation_mm,peak_force_n,passed
CoM-Bar,com_bar,0.4,4,16.0,1.0,1.9796669594616378,0.6280654024679495,4.517138957977295,True
Basket,basket_physical,0.8760000000000001,64,16.0,1.0,2.2151869059454983,6.9626277867395014,7.9638776779174805,True
Drill,drill_flexiclick,0.975,35,4.500000000000001,1.0,1.1027678425062848,3.9988080301270577,18.274110794067383,True
Pan,pan_supor_24cm,0.8,53,16.0,1.0,8.128906702052598,4.615983175703225,19.84116554260254,True
