condition,controller,wrist_mode,attempts,successes,success_rate_pct,mean_contact_retention_pct,mean_peak_rotation_deg,aggregation
static,DynamicDex Full-16,admittance,10,9,90.0,95.0,4.2,mean of trial-level metrics within condition
moving,DynamicDex Full-16,admittance,5,4,80.0,85.0,8.6,mean of trial-level metrics within condition
